CPU:RSS:VMS:FDS
0.0:1339392:7299072:4
83.5:207347712:3621961728:162
28.9:211738624:3638689792:160
3.4:212008960:3638689792:160
0.8:212041728:3638689792:160
1.4:212041728:3638689792:160
1.2:212140032:3638689792:160
3.8:213004288:3638689792:160
1.0:213004288:3638689792:160
1.0:213172224:3638689792:160
1.0:213172224:3638689792:160
1.6:213172224:3638689792:160
1.0:213172224:3638689792:160
1.8:214089728:3638689792:160
0.6:214216704:3630297088:160
15.5:214597632:3630297088:160
15.3:215756800:3630297088:160
30.3:224034816:3634798592:160
61.5:228659200:3639062528:161
36.7:228663296:3643195392:160
10.1:228663296:3643195392:160
10.5:228663296:3643195392:160
10.3:228663296:3643195392:160
9.9:228663296:3643195392:160
10.1:228663296:3643195392:160
10.9:228663296:3643195392:161
9.7:228667392:3643195392:160
9.3:228667392:3643195392:160
9.5:228667392:3643195392:160
9.5:228667392:3643195392:160
9.3:228667392:3643195392:160
9.9:228667392:3643195392:160
9.3:228827136:3634802688:160
9.7:228827136:3634802688:160
9.7:228827136:3634802688:160
9.9:228827136:3634802688:160
30.0:229543936:3634802688:160
10.7:229543936:3634802688:160
10.3:229543936:3634802688:160
10.3:229543936:3634802688:160
10.3:229543936:3634802688:160
9.5:229543936:3634802688:160
10.5:229543936:3634802688:160
10.7:229543936:3634802688:160
9.9:229543936:3634802688:160
9.9:229543936:3634802688:160
10.3:229543936:3634802688:160
10.1:229543936:3634802688:160
